Player,Age,Team,Pos,G,MP,PTS,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK
Julian Champagnie,21,SAS,SF,15.0,20.9,11.0,0.461,0.407,0.553,0.824,4.0,0.7,0.3,0.3
Cam Reddish,23,2TM,SF,40.0,24.8,9.7,0.446,0.313,0.56,0.853,2.2,1.4,1.0,0.4
Cam Reddish,23,NYK,SF,20.0,21.9,8.4,0.449,0.304,0.55,0.879,1.6,1.0,0.8,0.4
Cam Reddish,23,POR,SF,20.0,27.6,11.0,0.443,0.318,0.568,0.833,2.9,1.9,1.2,0.3
Keita BatesDiop,27,SAS,PF,67.0,21.7,9.7,0.508,0.394,0.557,0.793,3.7,1.5,0.7,0.3
Coby White,22,CHI,SG,74.0,23.4,9.7,0.443,0.372,0.54,0.871,2.9,2.8,0.7,0.1
Caleb Martin,27,MIA,SF,71.0,29.3,9.6,0.464,0.356,0.545,0.805,4.8,1.6,1.0,0.4
Isaiah Joe,23,OKC,SG,73.0,19.1,9.5,0.441,0.409,0.553,0.82,2.4,1.2,0.7,0.1
Andrew Nembhard,23,IND,SG,75.0,27.6,9.5,0.441,0.35,0.504,0.79,2.7,4.5,0.9,0.2
Jalen McDaniels,25,2TM,SF,80.0,23.9,9.4,0.455,0.332,0.53,0.841,4.3,1.6,1.0,0.4
Jalen McDaniels,25,CHO,SF,56.0,26.7,10.6,0.447,0.322,0.534,0.846,4.8,2.0,1.2,0.5
Jalen McDaniels,25,PHI,SF,24.0,17.5,6.7,0.488,0.4,0.516,0.824,3.2,0.8,0.7,0.2
Kyle Anderson,29,MIN,PF,69.0,28.4,9.4,0.509,0.41,0.536,0.735,5.3,4.9,1.1,0.9
Chris Boucher,30,TOR,PF,76.0,20.0,9.4,0.493,0.328,0.585,0.762,5.5,0.4,0.6,0.8
Donte DiVincenzo,26,GSW,SG,72.0,26.3,9.4,0.435,0.397,0.525,0.817,4.5,3.5,1.3,0.1
Jalen Smith,22,IND,C,68.0,18.8,9.4,0.476,0.283,0.593,0.759,5.8,1.0,0.3,0.9
Gabe Vincent,26,MIA,PG,68.0,25.9,9.4,0.402,0.334,0.512,0.872,2.1,2.5,0.9,0.1
Luke Kennard,26,2TM,SG,59.0,22.3,9.3,0.492,0.494,0.487,0.949,2.7,1.5,0.5,0.1
Luke Kennard,26,LAC,SG,35.0,20.7,7.8,0.464,0.447,0.494,0.95,2.4,1.1,0.5,0.1
Luke Kennard,26,MEM,SG,24.0,24.6,11.3,0.526,0.54,0.471,0.947,3.1,2.3,0.5,0.0
Hamidou Diallo,24,DET,SF,56.0,17.8,9.3,0.573,0.238,0.593,0.588,3.5,1.0,0.9,0.3
Tari Eason,21,HOU,PF,82.0,21.5,9.3,0.448,0.343,0.486,0.752,6.0,1.1,1.2,0.6
Precious Achiuwa,23,TOR,C,55.0,20.7,9.2,0.485,0.269,0.564,0.702,6.0,0.9,0.6,0.5
Deni Avdija,22,WAS,SF,76.0,26.6,9.2,0.437,0.297,0.53,0.739,6.4,2.8,0.9,0.4
Seth Curry,32,BRK,SG,61.0,19.9,9.2,0.463,0.405,0.525,0.927,1.6,1.6,0.6,0.1
Walker Kessler,21,UTA,C,74.0,23.0,9.2,0.72,0.333,0.723,0.516,8.4,0.9,0.4,2.3
Bol Bol,23,ORL,PF,70.0,21.5,9.1,0.546,0.265,0.633,0.759,5.8,1.0,0.4,1.2
Jalen Duren,19,DET,C,67.0,24.9,9.1,0.648,0.0,0.652,0.611,8.9,1.1,0.7,0.9
Josh Green,22,DAL,SG,60.0,25.7,9.1,0.537,0.402,0.643,0.723,3.0,1.7,0.7,0.1
Naji Marshall,25,NOP,SF,77.0,23.3,9.1,0.433,0.303,0.513,0.789,3.6,2.5,0.7,0.2
Taurean Prince,28,MIN,PF,54.0,22.1,9.1,0.467,0.381,0.557,0.844,2.4,1.6,0.5,0.3
JaeSean Tate,27,HOU,SF,31.0,21.8,9.1,0.48,0.283,0.53,0.725,3.8,2.7,0.7,0.2
Santi Aldama,22,MEM,PF,77.0,21.8,9.0,0.47,0.353,0.591,0.75,4.8,1.3,0.6,0.6
Jose Alvarado,24,NOP,PG,61.0,21.5,9.0,0.411,0.336,0.488,0.813,2.3,3.0,1.1,0.2
AJ Griffin,19,ATL,SF,72.0,19.5,8.9,0.465,0.39,0.536,0.894,2.1,1.0,0.6,0.2
Jaden Hardy,20,DAL,SG,48.0,14.8,8.8,0.438,0.404,0.469,0.823,1.9,1.4,0.4,0.1
Shaquille Harrison,29,POR,SG,5.0,24.0,8.8,0.417,0.3,0.462,0.733,4.4,6.0,2.2,0.4
Terance Mann,26,LAC,SG,81.0,23.1,8.8,0.519,0.389,0.598,0.78,3.4,2.3,0.5,0.3
Royce ONeale,29,BRK,SF,76.0,31.7,8.8,0.386,0.389,0.379,0.725,5.1,3.7,0.9,0.6
Dennis Smith Jr,25,CHO,PG,54.0,25.7,8.8,0.412,0.216,0.475,0.736,3.1,4.8,1.4,0.5
Jordan Nwora,24,2TM,SF,62.0,19.2,8.7,0.436,0.408,0.462,0.791,3.7,1.4,0.4,0.2
Jordan Nwora,24,MIL,SF,38.0,15.7,6.0,0.386,0.392,0.379,0.86,3.1,1.0,0.3,0.2
Jordan Nwora,24,IND,SF,24.0,24.6,13.0,0.476,0.422,0.518,0.721,4.7,2.1,0.5,0.3
TJ McConnell,30,IND,PG,75.0,20.3,8.7,0.543,0.441,0.556,0.853,3.1,5.3,1.1,0.1
Cedi Osman,27,CLE,SF,77.0,20.1,8.7,0.451,0.372,0.564,0.694,2.3,1.5,0.5,0.1
Landry Shamet,25,PHO,SG,40.0,20.2,8.7,0.377,0.377,0.376,0.882,1.7,2.3,0.7,0.1
Steven Adams,29,MEM,C,42.0,27.0,8.6,0.597,0.0,0.599,0.364,11.5,2.3,0.9,1.1
Ayo Dosunmu,23,CHI,SG,80.0,26.2,8.6,0.493,0.312,0.583,0.805,2.8,2.6,0.8,0.3
Draymond Green,32,GSW,PF,73.0,31.5,8.5,0.527,0.305,0.612,0.713,7.2,6.8,1.0,0.8
Shake Milton,26,PHI,SG,76.0,20.6,8.4,0.479,0.378,0.521,0.853,2.5,3.2,0.3,0.2
Dorian FinneySmith,29,2TM,PF,66.0,30.4,8.3,0.391,0.337,0.503,0.763,4.8,1.5,0.8,0.5
Dorian FinneySmith,29,DAL,PF,40.0,32.2,9.1,0.416,0.355,0.559,0.75,4.7,1.5,1.0,0.5
Dorian FinneySmith,29,BRK,PF,26.0,27.7,7.2,0.351,0.306,0.429,0.789,4.9,1.6,0.7,0.6
Terrence Ross,31,2TM,SG,63.0,21.1,8.3,0.43,0.368,0.507,0.794,2.4,1.5,0.6,0.2
Terrence Ross,31,ORL,SG,42.0,22.5,8.0,0.431,0.381,0.489,0.75,2.0,1.3,0.6,0.2
Terrence Ross,31,PHO,SG,21.0,18.4,9.0,0.428,0.347,0.544,0.857,3.3,2.0,0.5,0.1
Gary Harris,28,ORL,SG,48.0,24.7,8.3,0.45,0.431,0.494,0.9,2.0,1.2,0.9,0.3
Kevin Love,34,2TM,PF,62.0,20.0,8.2,0.389,0.334,0.516,0.879,6.4,1.9,0.3,0.2
Kevin Love,34,CLE,PF,41.0,20.0,8.5,0.389,0.354,0.467,0.889,6.8,1.9,0.2,0.2
Kevin Love,34,MIA,PF,21.0,20.0,7.7,0.388,0.297,0.632,0.857,5.7,1.9,0.4,0.2
Damion Lee,30,PHO,SG,74.0,20.4,8.2,0.442,0.445,0.439,0.904,3.0,1.3,0.4,0.1
Georges Niang,29,PHI,PF,78.0,19.4,8.2,0.442,0.401,0.576,0.867,2.4,1.0,0.4,0.2
Nick Richards,25,CHO,C,65.0,18.7,8.2,0.629,1.0,0.628,0.749,6.4,0.6,0.2,1.1
Aleksej Pokusevski,21,OKC,PF,34.0,20.6,8.1,0.434,0.365,0.483,0.629,4.7,1.9,0.6,1.3
Grant Williams,24,BOS,PF,79.0,25.9,8.1,0.454,0.395,0.546,0.77,4.6,1.7,0.5,0.4
Jevon Carter,27,MIL,PG,81.0,22.3,8.0,0.423,0.421,0.425,0.816,2.5,2.4,0.8,0.4
Kemba Walker,32,DAL,PG,9.0,16.0,8.0,0.421,0.25,0.586,0.81,1.8,2.1,0.2,0.2
Kenrich Williams,28,OKC,PF,53.0,22.8,8.0,0.517,0.373,0.608,0.436,4.9,2.0,0.8,0.3
Robert Williams,25,BOS,C,35.0,23.5,8.0,0.747,0.0,0.751,0.61,8.3,1.4,0.6,1.4
Gabe York,29,IND,SG,3.0,18.7,8.0,0.381,0.333,0.667,1.0,2.0,1.7,0.7,0.0
Jarred Vanderbilt,23,2TM,PF,78.0,24.1,7.9,0.548,0.322,0.604,0.691,7.5,2.4,1.1,0.3
Jarred Vanderbilt,23,UTA,PF,52.0,24.1,8.3,0.556,0.333,0.606,0.657,7.9,2.7,1.0,0.3
Jarred Vanderbilt,23,LAL,PF,26.0,24.0,7.2,0.529,0.303,0.598,0.784,6.7,1.6,1.2,0.2
Ochai Agbaji,22,UTA,SG,59.0,20.5,7.9,0.427,0.355,0.532,0.812,2.1,1.1,0.3,0.3
Chris Duarte,25,IND,SF,46.0,19.5,7.9,0.369,0.316,0.428,0.847,2.5,1.4,0.5,0.2
Duane Washington Jr,22,PHO,SG,31.0,12.7,7.9,0.367,0.36,0.372,0.667,1.2,2.0,0.2,0.1
Jeff Green,36,DEN,PF,56.0,19.5,7.8,0.488,0.288,0.58,0.744,2.6,1.2,0.3,0.3
Tre Mann,21,OKC,PG,67.0,17.7,7.7,0.393,0.315,0.475,0.764,2.3,1.8,0.6,0.2
Pat Connaughton,30,MIL,SF,61.0,23.7,7.6,0.392,0.339,0.566,0.659,4.6,1.3,0.6,0.2
Joe Harris,31,BRK,SF,74.0,20.6,7.6,0.457,0.426,0.551,0.643,2.2,1.4,0.5,0.2
Trey Lyles,27,SAC,PF,74.0,16.9,7.6,0.458,0.363,0.595,0.815,4.1,0.9,0.4,0.4
TJ Warren,29,2TM,PF,42.0,16.4,7.5,0.489,0.328,0.542,0.8,2.9,1.0,0.5,0.3
TJ Warren,29,BRK,PF,26.0,18.8,9.5,0.51,0.333,0.566,0.818,2.8,1.1,0.6,0.3
Devonte Graham,27,2TM,PG,73.0,18.3,7.4,0.374,0.352,0.452,0.748,1.7,2.7,0.6,0.2
Devonte Graham,27,NOP,PG,53.0,15.3,5.3,0.368,0.347,0.463,0.746,1.4,2.2,0.6,0.2
Devonte Graham,27,SAS,PG,20.0,26.4,13.0,0.38,0.358,0.442,0.75,2.5,4.0,0.8,0.3
Torrey Craig,32,PHO,PF,79.0,24.7,7.4,0.456,0.395,0.518,0.711,5.4,1.5,0.6,0.8
Obi Toppin,24,NYK,PF,67.0,15.7,7.4,0.446,0.344,0.593,0.809,2.8,1.0,0.3,0.2
Trendon Watford,22,POR,PF,62.0,19.1,7.4,0.56,0.391,0.602,0.72,3.8,2.1,0.5,0.2
Delon Wright,30,WAS,PG,50.0,24.4,7.4,0.474,0.345,0.564,0.867,3.6,3.9,1.8,0.3
Jay Huff,24,WAS,C,7.0,13.6,7.3,0.6,0.5,0.692,0.938,3.0,1.4,0.4,0.6
Josh Okogie,24,PHO,SG,72.0,18.8,7.3,0.391,0.335,0.442,0.724,3.5,1.5,0.8,0.5
Reggie Bullock,31,DAL,SF,78.0,30.3,7.2,0.409,0.38,0.562,0.703,3.6,1.4,0.7,0.2
Isaiah Jackson,21,IND,C,63.0,16.5,7.2,0.563,0.143,0.582,0.651,4.5,0.8,0.5,1.5
Kendrick Nunn,27,2TM,SG,70.0,13.8,7.1,0.424,0.354,0.493,0.854,1.6,1.3,0.4,0.1
Kendrick Nunn,27,LAL,SG,39.0,13.5,6.7,0.406,0.325,0.488,0.81,1.4,0.9,0.3,0.1
Kendrick Nunn,27,WAS,SG,31.0,14.1,7.5,0.447,0.392,0.5,0.9,1.7,1.8,0.5,0.1
Troy Brown Jr,23,LAL,SF,76.0,24.5,7.1,0.43,0.381,0.505,0.872,4.1,1.3,0.8,0.2
Edmond Sumner,27,BRK,SG,53.0,13.9,7.1,0.461,0.356,0.511,0.917,1.5,1.3,0.6,0.2
Lindell Wigginton,24,MIL,PG,7.0,12.4,7.1,0.486,0.333,0.632,0.889,1.0,2.0,0.0,0.3
Eugene Omoruyi,25,2TM,SF,40.0,16.1,7.0,0.443,0.281,0.547,0.68,2.8,0.7,0.7,0.1
Eugene Omoruyi,25,DET,SF,17.0,21.9,9.7,0.425,0.293,0.526,0.723,3.5,1.0,0.8,0.2
Kevon Looney,26,GSW,C,82.0,23.9,7.0,0.63,0.0,0.632,0.606,9.3,2.5,0.6,0.6
Joshua Primo,20,SAS,SG,4.0,23.3,7.0,0.346,0.25,0.429,0.778,3.3,4.5,0.3,0.5
Daniel Theis,30,IND,C,7.0,15.6,7.0,0.477,0.182,0.576,0.417,3.1,1.3,0.3,0.9
Xavier Tillman Sr,24,MEM,C,61.0,19.3,7.0,0.614,0.267,0.632,0.551,5.0,1.6,1.0,0.5
Svi Mykhailiuk,25,2TM,SF,32.0,14.6,6.9,0.445,0.424,0.473,0.667,1.7,1.7,0.5,0.1
Svi Mykhailiuk,25,CHO,SF,19.0,22.5,10.6,0.441,0.404,0.486,0.676,2.4,2.7,0.7,0.2
Jae Crowder,32,MIL,PF,18.0,18.9,6.9,0.479,0.436,0.538,0.833,3.8,1.5,0.7,0.3
Willy Hernangmez,28,NOP,C,38.0,12.1,6.9,0.527,0.273,0.544,0.779,4.7,0.9,0.4,0.3
Joe Ingles,35,MIL,SF,46.0,22.7,6.9,0.435,0.409,0.556,0.857,2.8,3.3,0.7,0.1
Ty Jerome,25,GSW,SG,45.0,18.1,6.9,0.488,0.389,0.546,0.927,1.7,3.0,0.5,0.1
Cory Joseph,31,DET,PG,62.0,19.8,6.9,0.427,0.389,0.468,0.792,1.7,3.5,0.5,0.1
Romeo Langford,23,SAS,SG,43.0,19.6,6.9,0.467,0.262,0.53,0.696,2.7,1.2,0.6,0.3
Ben Simmons,26,BRK,PG,42.0,26.3,6.9,0.566,0.0,0.571,0.439,6.3,6.1,1.3,0.6
Will Barton,32,2TM,SG,56.0,17.7,6.8,0.379,0.367,0.391,0.787,2.4,2.0,0.5,0.2
Will Barton,32,WAS,SG,40.0,19.6,7.7,0.386,0.377,0.395,0.778,2.8,2.4,0.4,0.3
Larry Nance Jr,30,NOP,C,65.0,21.2,6.8,0.61,0.333,0.654,0.696,5.4,1.8,0.9,0.6
Jeremiah RobinsonEarl,22,OKC,PF,43.0,18.9,6.8,0.444,0.333,0.533,0.833,4.2,1.0,0.6,0.3
Aaron Wiggins,24,OKC,SG,70.0,18.5,6.8,0.512,0.393,0.573,0.831,3.0,1.1,0.6,0.2
Justise Winslow,26,POR,PF,29.0,26.8,6.8,0.409,0.311,0.438,0.714,5.0,3.4,1.0,0.4
Terence Davis,25,SAC,SG,64.0,13.1,6.7,0.423,0.366,0.537,0.791,2.2,1.0,0.7,0.2
Anthony Lamb,25,GSW,SF,62.0,19.3,6.7,0.471,0.367,0.652,0.767,3.5,1.5,0.5,0.3
Isaiah Livers,24,DET,PF,52.0,23.1,6.7,0.417,0.365,0.541,0.821,2.8,0.8,0.5,0.5
Tho Maledon,21,CHO,PG,44.0,19.4,6.7,0.402,0.295,0.465,0.851,2.8,3.5,0.8,0.3
Dwight Powell,31,DAL,C,76.0,19.2,6.7,0.732,0.0,0.746,0.667,4.1,0.9,0.6,0.3
David Roddy,21,MEM,PF,70.0,18.0,6.7,0.429,0.307,0.553,0.631,2.8,0.8,0.4,0.3
Kevin Knox,23,2TM,SF,63.0,15.1,6.6,0.458,0.349,0.596,0.767,2.8,0.5,0.4,0.2
Kevin Knox,23,DET,SF,42.0,14.1,5.6,0.469,0.371,0.651,0.788,2.6,0.4,0.3,0.3
Kevin Knox,23,POR,PF,21.0,17.1,8.5,0.444,0.314,0.554,0.741,3.3,0.9,0.5,0.0
Mo Bamba,24,2TM,C,49.0,15.7,6.6,0.485,0.387,0.59,0.661,4.6,0.9,0.3,0.9
Mo Bamba,24,ORL,C,40.0,17.0,7.3,0.495,0.398,0.594,0.686,4.6,1.1,0.3,1.0
Drew Eubanks,25,POR,C,78.0,20.3,6.6,0.641,0.389,0.655,0.664,5.4,1.3,0.5,1.3
Jordan Goodwin,24,WAS,PG,62.0,17.8,6.6,0.448,0.322,0.511,0.768,3.3,2.7,0.9,0.4
Jock Landale,27,PHO,C,69.0,14.2,6.6,0.528,0.25,0.621,0.752,4.1,1.0,0.2,0.4
Nassir Little,22,POR,SF,54.0,18.1,6.6,0.442,0.367,0.524,0.717,2.6,0.9,0.4,0.4
Brandon Boston Jr,21,LAC,SF,22.0,11.3,6.5,0.418,0.414,0.419,0.763,1.4,0.9,0.4,0.0
Luka Garza,24,MIN,C,28.0,8.7,6.5,0.543,0.359,0.636,0.788,2.3,0.6,0.1,0.1
Jay Scrubb,22,ORL,SG,2.0,15.0,6.5,0.714,1.0,0.6,0.5,3.0,0.5,1.0,0.0
Cody Zeller,30,MIA,C,15.0,14.5,6.5,0.627,0.0,0.649,0.686,4.3,0.7,0.2,0.3
Dario ari,28,2TM,C,57.0,14.1,6.4,0.458,0.391,0.506,0.829,3.6,1.3,0.4,0.1
Dario ari,28,PHO,PF,37.0,14.4,5.8,0.427,0.391,0.45,0.818,3.8,1.5,0.4,0.1
Dario ari,28,OKC,C,20.0,13.7,7.4,0.515,0.391,0.623,0.844,3.3,0.9,0.4,0.1
RJ Hampton,21,2TM,SG,47.0,16.0,6.4,0.43,0.353,0.504,0.75,1.9,1.1,0.6,0.2
RJ Hampton,21,ORL,SG,26.0,13.9,5.7,0.439,0.34,0.525,0.838,1.5,1.3,0.6,0.2
RJ Hampton,21,DET,SG,21.0,18.5,7.3,0.423,0.365,0.483,0.667,2.3,1.0,0.5,0.2
JaMychal Green,32,GSW,PF,57.0,14.0,6.4,0.54,0.378,0.667,0.776,3.6,0.9,0.4,0.4
Sam Hauser,25,BOS,SF,80.0,16.1,6.4,0.455,0.418,0.656,0.706,2.6,0.9,0.4,0.3
Isaac Okoro,22,CLE,SF,76.0,21.7,6.4,0.494,0.363,0.617,0.757,2.5,1.1,0.7,0.4
Duncan Robinson,28,MIA,SF,42.0,16.5,6.4,0.371,0.328,0.556,0.906,1.6,1.1,0.3,0.0
Goran Dragi,36,2TM,PG,58.0,15.0,6.3,0.421,0.359,0.468,0.689,1.4,2.6,0.2,0.1
Goran Dragi,36,CHI,PG,51.0,15.4,6.4,0.425,0.352,0.48,0.659,1.4,2.7,0.2,0.1
Goran Dragi,36,MIL,PG,7.0,11.9,5.6,0.389,0.412,0.368,1.0,1.7,1.7,0.3,0.0
Simone Fontecchio,27,UTA,SF,52.0,14.7,6.3,0.369,0.33,0.43,0.795,1.7,0.8,0.3,0.2
Patrick Beverley,34,2TM,PG,67.0,27.1,6.2,0.4,0.335,0.529,0.723,3.7,2.9,0.9,0.6
Patrick Beverley,34,LAL,SG,45.0,26.9,6.4,0.402,0.348,0.506,0.78,3.1,2.6,0.9,0.6
Patrick Beverley,34,CHI,PG,22.0,27.5,5.8,0.395,0.309,0.579,0.533,4.9,3.5,1.0,0.7
Nickeil AlexanderWalker,24,2TM,SG,59.0,15.0,6.2,0.444,0.384,0.515,0.667,1.7,1.8,0.5,0.4
Nickeil AlexanderWalker,24,UTA,SG,36.0,14.7,6.3,0.488,0.402,0.578,0.692,1.6,2.1,0.7,0.4
Nickeil AlexanderWalker,24,MIN,SG,23.0,15.5,5.9,0.384,0.361,0.415,0.619,1.8,1.4,0.3,0.3
Quenton Jackson,24,WAS,PG,9.0,15.0,6.2,0.452,0.083,0.6,0.773,0.9,1.7,0.4,0.1
Patty Mills,34,BRK,PG,40.0,14.2,6.2,0.411,0.366,0.493,0.833,1.1,1.4,0.4,0.1
Sandro Mamukelashvili,23,2TM,C,43.0,15.3,6.1,0.422,0.303,0.511,0.684,4.3,1.4,0.3,0.3
Sandro Mamukelashvili,23,SAS,C,19.0,23.3,10.8,0.453,0.343,0.524,0.692,6.8,2.4,0.5,0.4
Mike Muscala,31,2TM,C,63.0,15.0,6.1,0.449,0.391,0.588,0.769,3.2,0.8,0.2,0.4
Mike Muscala,31,OKC,C,43.0,14.5,6.2,0.438,0.394,0.541,0.795,3.1,0.9,0.3,0.4
Mike Muscala,31,BOS,C,20.0,16.2,5.9,0.472,0.385,0.708,0.692,3.4,0.6,0.2,0.3
Nicolas Batum,34,LAC,PF,78.0,21.9,6.1,0.42,0.391,0.563,0.708,3.8,1.6,0.7,0.6
Oshae Brissett,24,IND,PF,65.0,16.7,6.1,0.386,0.31,0.457,0.717,3.4,0.7,0.5,0.2
Evan Fournier,30,NYK,SG,27.0,17.0,6.1,0.337,0.307,0.404,0.857,1.8,1.3,0.6,0.1
Saben Lee,23,2TM,PG,25.0,14.9,6.0,0.405,0.367,0.418,0.737,1.8,2.7,0.8,0.0
Saben Lee,23,PHO,PG,23.0,15.8,6.3,0.393,0.379,0.398,0.737,2.0,2.8,0.8,0.0
Robert Covington,32,LAC,PF,48.0,16.2,6.0,0.445,0.397,0.516,0.75,3.5,1.2,0.8,0.7
Andre Drummond,29,CHI,C,67.0,12.7,6.0,0.606,0.0,0.613,0.536,6.6,0.5,0.7,0.4
Maxi Kleber,31,DAL,PF,37.0,25.1,5.9,0.456,0.348,0.667,0.711,3.6,1.4,0.3,0.8
Jaylin Williams,20,OKC,C,49.0,18.7,5.9,0.436,0.407,0.463,0.704,4.9,1.6,0.6,0.2
Josh Christopher,21,HOU,SG,64.0,12.3,5.8,0.465,0.236,0.55,0.75,1.1,1.1,0.5,0.2
Johnny Davis,20,WAS,SG,28.0,15.1,5.8,0.386,0.243,0.485,0.519,2.3,1.0,0.4,0.3
Stanley Johnson,26,SAS,SF,30.0,15.6,5.8,0.533,0.45,0.573,0.667,3.2,2.2,0.5,0.2
Charles Bassey,22,SAS,C,35.0,14.5,5.7,0.644,0.375,0.661,0.595,5.5,1.4,0.5,0.9
Rodney McGruder,31,DET,SG,32.0,16.4,5.7,0.408,0.423,0.382,0.818,2.3,0.9,0.5,0.0
Ziaire Williams,21,MEM,SF,37.0,15.2,5.7,0.429,0.258,0.596,0.773,2.1,0.9,0.4,0.2
James Bouknight,22,CHO,SG,34.0,15.1,5.6,0.358,0.303,0.429,0.667,2.1,1.2,0.4,0.1
Alex Caruso,28,CHI,PG,67.0,23.5,5.6,0.455,0.364,0.556,0.808,2.9,2.9,1.5,0.7
Montrezl Harrell,29,PHI,C,57.0,11.9,5.6,0.598,0.0,0.616,0.693,2.8,0.6,0.3,0.4
Jalen Johnson,21,ATL,SF,70.0,14.9,5.6,0.491,0.288,0.587,0.628,4.0,1.2,0.5,0.5
Davion Mitchell,24,SAC,PG,80.0,18.1,5.6,0.454,0.32,0.584,0.806,1.3,2.3,0.6,0.2
Payton Pritchard,25,BOS,PG,48.0,13.4,5.6,0.412,0.364,0.495,0.75,1.8,1.3,0.3,0.0
Derrick Rose,34,NYK,PG,27.0,12.5,5.6,0.384,0.302,0.438,0.917,1.5,1.7,0.3,0.2
Yuta Watanabe,28,BRK,SF,58.0,16.0,5.6,0.491,0.444,0.557,0.723,2.4,0.8,0.4,0.3
Danny Green,35,2TM,SG,11.0,12.5,5.5,0.449,0.432,0.5,1.0,1.3,0.5,0.5,0.3
Danny Green,35,CLE,SG,8.0,11.9,6.5,0.5,0.448,0.667,1.0,1.3,0.5,0.6,0.4
Jarrell Brantley,26,UTA,PF,4.0,9.8,5.5,0.571,0.444,0.8,1.0,1.5,0.8,0.0,0.5
Wenyen Gabriel,25,LAL,C,68.0,15.1,5.5,0.596,0.278,0.647,0.619,4.2,0.5,0.4,0.5
Nikola Jovi,19,MIA,PF,15.0,13.6,5.5,0.406,0.229,0.588,0.947,2.1,0.7,0.5,0.1
Otto Porter Jr,29,TOR,SF,8.0,18.3,5.5,0.5,0.353,0.692,1.0,2.4,1.0,1.4,0.0
Jamal Cain,23,MIA,PF,18.0,13.3,5.4,0.561,0.35,0.652,0.773,2.9,0.7,0.6,0.1
Bryce McGowens,20,CHO,SG,46.0,17.1,5.3,0.396,0.325,0.443,0.75,2.0,1.2,0.3,0.1
Lamar Stevens,25,CLE,SF,62.0,18.1,5.3,0.448,0.316,0.513,0.702,3.3,0.5,0.4,0.3
Dewayne Dedmon,33,2TM,C,38.0,11.2,5.2,0.51,0.308,0.58,0.673,3.5,0.7,0.2,0.5
Dewayne Dedmon,33,MIA,C,30.0,11.7,5.7,0.496,0.297,0.576,0.727,3.6,0.5,0.2,0.5
Darius Bazley,22,2TM,C,43.0,14.3,5.2,0.454,0.377,0.485,0.543,3.2,0.9,0.5,0.8
Darius Bazley,22,OKC,C,36.0,15.4,5.4,0.449,0.4,0.469,0.554,3.4,0.9,0.5,0.8
Rudy Gay,36,UTA,PF,56.0,14.6,5.2,0.38,0.254,0.484,0.857,2.9,1.0,0.3,0.3
Javonte Green,29,CHI,SF,32.0,15.0,5.2,0.565,0.371,0.658,0.667,2.8,0.7,0.8,0.7
Zeke Nnaji,22,DEN,PF,53.0,13.7,5.2,0.561,0.262,0.71,0.645,2.6,0.3,0.3,0.4
Ricky Rubio,32,CLE,PG,33.0,17.2,5.2,0.343,0.256,0.417,0.8,2.1,3.5,0.8,0.2
Lindy Waters III,25,OKC,SG,41.0,13.0,5.2,0.393,0.358,0.75,0.8,1.8,0.7,0.3,0.3
MarJon Beauchamp,22,MIL,SF,52.0,13.5,5.1,0.395,0.331,0.485,0.73,2.2,0.7,0.4,0.1
DeAndre Jordan,34,DEN,C,39.0,15.0,5.1,0.765,1.0,0.763,0.458,5.2,0.9,0.3,0.6
John Konchar,26,MEM,SF,72.0,20.8,5.1,0.431,0.339,0.545,0.778,4.3,1.4,1.1,0.3
George Hill,36,2TM,SG,46.0,18.1,5.0,0.47,0.358,0.62,0.764,1.8,2.4,0.6,0.1
George Hill,36,MIL,PG,35.0,19.1,5.0,0.447,0.311,0.621,0.739,1.9,2.5,0.5,0.1
George Hill,36,IND,SG,11.0,15.1,5.2,0.559,0.524,0.615,0.889,1.6,1.9,0.6,0.3
Vlatko anar,25,DEN,PF,60.0,14.8,5.0,0.476,0.374,0.58,0.927,2.1,1.3,0.4,0.2
Isaiah Hartenstein,24,NYK,C,82.0,19.8,5.0,0.535,0.216,0.576,0.676,6.5,1.2,0.6,0.8
Jaxson Hayes,22,NOP,C,47.0,13.0,5.0,0.551,0.103,0.654,0.699,2.8,0.7,0.4,0.4
Jonathan Isaac,25,ORL,PF,11.0,11.3,5.0,0.415,0.4,0.421,0.556,4.0,0.5,1.3,0.4
Derrick Jones Jr,25,CHI,PF,64.0,14.0,5.0,0.5,0.338,0.587,0.738,2.4,0.5,0.5,0.6
Kenneth Lofton Jr,20,MEM,PF,24.0,7.3,5.0,0.527,0.353,0.566,0.593,2.1,0.8,0.2,0.1
Cody Martin,27,CHO,SF,7.0,19.1,5.0,0.389,0.214,0.5,0.571,3.4,1.6,0.6,0.1
Sam Merrill,26,CLE,SG,5.0,11.8,5.0,0.409,0.278,1.0,1.0,1.8,1.0,0.8,0.0
Blake Wesley,19,SAS,SG,37.0,18.1,5.0,0.321,0.385,0.301,0.591,2.2,2.6,0.7,0.1
Gary Payton II,30,GSW,SG,7.0,16.0,5.7,0.607,0.444,0.684,0.667,4.3,1.1,0.9,0.6
Goga Bitadze,23,ORL,C,17.0,15.0,5.8,0.575,0.167,0.656,0.667,5.2,1.2,0.4,0.9
Matisse Thybulle,25,POR,SG,22.0,27.7,7.4,0.438,0.388,0.519,0.625,3.5,1.4,1.7,0.8
